numRows,numCols,totalImps,brokenImps,updateTime,naiveUpdateTime
12,11,190,15,8,26
13,12,227,23,16,59
14,11,225,10,16,31
11,14,361,17,32,93
15,11,168,11,3,11
15,13,359,52,7,87
13,13,406,35,28,101
11,12,146,24,4,16
11,13,413,27,41,124
13,14,509,45,55,259
15,12,288,2,28,42
12,13,400,15,31,110
12,13,422,61,23,147
12,11,243,17,15,47
13,15,676,45,64,380
15,15,1040,52,133,779
15,11,219,15,15,32
15,14,555,64,31,280
14,15,784,81,59,464
13,11,193,18,15,16
14,12,291,35,15,63
14,15,493,60,31,237
11,12,225,5,0,31
12,14,438,39,49,186
12,14,382,48,47,165
15,15,922,100,98,819
13,10,115,21,0,0
13,11,163,24,0,16
15,14,545,44,72,336
15,13,580,72,16,218
14,11,281,3,25,36
11,13,187,13,7,30
13,14,654,72,8,198
15,14,657,85,16,238
13,11,148,6,8,13
12,11,140,14,19,18
13,15,855,30,107,503
11,14,455,83,16,160
14,12,328,28,15,83
14,14,578,16,53,210
15,14,475,22,38,174
12,14,627,55,53,339
12,11,182,23,0,16
12,14,508,75,31,270
11,12,295,29,18,71
15,11,190,35,0,31
11,13,320,46,9,105
14,14,561,38,68,289
14,14,518,41,27,197
12,10,113,3,3,7
13,13,311,21,2,42
11,13,347,46,0,87
15,13,480,65,9,149
15,13,416,2,38,81
15,11,245,26,13,36
13,15,652,90,19,197
11,13,452,66,11,100
14,15,899,33,42,311
12,15,714,60,48,283
15,15,1097,84,101,600
15,12,366,18,17,95
13,14,511,56,43,291
11,14,540,9,52,205
14,14,490,10,45,167
13,12,279,34,11,70
12,11,246,8,19,48
14,12,399,24,32,152
13,11,167,11,4,13
14,12,287,30,12,60
14,12,307,21,18,76
15,11,201,18,8,30
13,11,181,21,12,28
14,13,431,20,20,138
14,15,755,64,118,556
11,11,195,35,6,33
12,13,357,26,23,135
12,14,592,70,29,249
15,11,246,2,19,39
12,14,544,59,43,276
15,13,337,5,26,79
13,12,312,22,28,89
14,13,527,58,42,260
11,13,390,58,14,94
14,14,523,28,107,357
14,15,877,70,106,759
11,12,243,19,15,48
11,13,333,43,14,72
14,11,212,35,3,30
13,13,273,1,14,51
14,11,230,28,5,30
12,13,442,23,34,143
13,11,234,12,10,140
12,12,308,25,21,81
12,13,255,25,20,71
15,13,471,1,43,117
12,11,207,4,15,24
13,13,373,32,31,139
14,13,412,12,30,121
12,11,209,8,11,29
14,13,433,56,32,185
12,12,326,18,30,84
11,14,413,22,50,146
14,14,606,33,57,430
15,15,676,38,116,457
12,14,609,62,58,365
14,12,308,41,12,77
12,14,515,41,69,273
11,15,664,100,70,461
15,11,217,1,11,24
15,11,236,0,9,30
12,14,460,55,27,197
11,11,212,26,6,34
14,15,865,96,87,780
14,11,292,28,12,71
13,11,166,7,10,20
13,14,704,40,107,512
14,14,483,41,46,192
14,15,832,24,99,464
11,11,177,20,0,31
14,12,191,25,0,35
14,12,332,21,16,78
12,14,460,32,31,189
12,14,444,41,40,167
13,13,339,17,15,81
13,11,170,30,15,16
13,13,428,43,32,145
14,15,729,11,105,344
14,14,645,50,43,305
12,15,657,21,68,289
12,13,436,21,17,108
12,15,657,55,88,416
12,14,556,11,42,221
15,14,583,1,62,174
15,13,485,15,15,141
12,14,512,53,49,276
13,14,379,29,16,109
15,13,409,3,20,101
12,15,775,94,95,614
14,14,612,41,65,281
11,14,381,48,31,128
11,14,487,37,47,209
15,11,248,35,16,59
11,12,192,32,0,33
14,14,541,37,64,279
12,13,371,33,26,96
11,14,352,37,17,87
11,12,202,11,9,18
14,12,251,11,13,41
13,12,266,2,15,46
12,15,651,33,76,324
13,15,713,60,53,404
12,15,664,44,57,332
13,11,197,17,0,32
15,11,146,8,3,0
13,14,633,80,31,332
12,14,480,21,31,158
11,11,225,33,0,54
15,15,984,58,98,722
12,12,256,53,10,65
12,14,578,88,2,244
11,11,237,26,10,52
14,12,312,32,15,48
11,15,604,50,65,342
12,15,834,6,107,389
14,15,957,115,59,906
14,11,211,26,0,32
11,15,789,92,77,571
15,15,856,71,89,701
15,15,1023,28,105,694
12,13,363,7,16,92
13,13,509,77,7,147
13,12,385,14,25,94
13,12,249,9,17,38
15,11,178,6,6,18
14,15,1032,4,131,469
11,13,473,6,35,83
14,13,333,23,15,79
14,14,460,61,16,150
11,12,232,30,5,26
11,14,395,23,2,41
15,11,200,16,5,20
13,14,477,38,16,186
11,12,311,45,0,66
14,11,175,19,5,15
14,13,401,36,19,95
15,15,558,87,35,455
11,14,537,73,95,617
14,12,300,57,38,158
14,11,224,24,14,67
11,14,565,54,76,725
13,14,432,45,17,256
13,12,189,21,62,125
15,12,257,35,32,132
15,13,470,11,82,242
15,13,483,14,49,281
11,14,551,67,107,559
14,11,238,23,8,101
15,14,565,64,88,569
12,13,339,28,27,143
14,12,326,25,25,128
14,11,230,6,21,54
12,12,328,27,14,114
13,12,172,14,16,44
12,11,170,10,10,32
13,13,509,59,45,345
11,12,259,1,21,50
13,12,281,35,23,110
14,13,371,38,46,227
14,15,840,50,193,986
13,12,242,24,13,75
14,12,298,26,30,131
15,11,197,19,10,55
12,11,181,9,9,35
13,15,687,63,106,803
13,11,181,10,15,32
12,14,679,44,117,561
11,14,406,31,8,173
13,11,120,9,4,16
11,15,613,25,113,469
11,15,762,78,124,873
13,11,232,29,8,60
14,14,713,30,116,562
12,12,185,3,8,32
12,15,666,57,88,587
15,12,233,7,24,56
11,14,566,42,66,361
12,13,215,28,16,76
11,13,311,26,20,102
15,12,336,46,16,105
14,11,205,33,12,33
13,13,441,40,37,180
12,13,410,7,31,104
12,12,223,17,11,42
13,13,394,21,32,116
12,14,603,52,59,316
12,15,606,20,78,276
13,11,183,18,8,30
13,11,211,35,6,32
13,12,317,23,11,76
11,13,295,35,9,67
14,12,237,8,15,35
14,13,322,21,16,87
14,12,315,33,4,57
15,13,480,30,34,165
11,14,536,82,31,276
11,11,137,25,5,44
13,11,197,28,8,35
11,14,444,19,36,154
13,12,288,27,18,81
11,14,493,48,14,155
11,13,284,16,22,64
12,12,348,21,25,106
14,14,591,47,65,280
12,14,466,52,27,173
12,14,694,28,82,354
12,11,159,9,9,23
12,12,187,31,5,27
12,11,206,37,10,47
14,12,357,15,16,87
14,13,412,52,33,162
12,15,568,48,6,188
14,13,450,27,30,158
12,14,399,39,31,177
11,12,212,22,8,41
11,11,189,10,9,31
14,12,229,0,13,27
15,15,866,40,125,625
15,13,310,13,19,76
13,15,646,47,61,350
14,10,103,5,3,9
13,11,174,12,11,25
15,12,267,23,7,54
11,12,187,16,7,27
15,12,347,6,29,71
12,11,177,12,5,22
12,13,413,29,31,133
11,14,361,37,13,101
12,11,137,4,2,10
13,12,282,3,16,42
14,15,653,25,82,353
12,13,447,15,39,153
11,10,81,20,1,5
15,11,176,23,5,29
11,13,297,45,27,93
14,15,1091,34,174,879
12,13,439,76,19,185
12,11,201,3,8,21
14,13,355,27,30,108
12,15,814,75,78,651
14,11,236,14,38,41
15,15,925,84,67,789
14,14,477,64,44,275
14,15,627,58,51,321
12,12,308,36,18,72
14,14,555,27,52,211
13,13,466,17,30,119
11,14,447,24,44,121
12,13,475,35,63,321
11,11,246,18,12,70
11,13,337,35,44,199
11,14,596,72,49,482
14,13,263,26,9,66
14,12,232,15,6,62
11,11,139,30,14,38
12,15,595,90,18,358
15,11,182,0,37,40
14,14,530,68,80,632
14,14,663,73,126,1033
12,12,294,23,40,200
14,12,364,44,2,109
11,12,294,38,54,173
13,12,285,33,90,151
15,13,406,48,46,222
11,11,183,24,15,48
14,14,614,32,88,490
15,14,602,36,86,459
12,11,129,20,3,41
12,11,115,6,7,22
11,10,140,20,10,30
14,14,541,83,33,368
13,12,239,38,17,83
12,13,388,24,41,233
11,11,188,20,9,40
11,14,602,40,125,686
11,12,277,31,21,116
15,12,392,5,53,135
12,11,213,26,7,48
11,11,200,34,5,43
13,10,160,1,11,22
12,14,695,95,95,737
15,13,402,31,40,217
11,13,366,32,20,143
11,11,214,15,16,52
14,12,207,6,16,40
12,12,287,26,20,128
15,11,122,17,4,24
15,15,640,77,108,668
12,11,205,8,12,40
11,13,454,38,48,244
11,11,212,5,13,43
14,14,458,5,62,228
11,12,278,17,9,112
14,10,103,5,4,12
12,11,232,0,16,40
15,11,169,19,12,41
13,13,346,16,20,100
15,11,211,11,16,68
15,12,282,22,20,98
13,11,288,32,12,88
15,13,523,46,32,318
15,13,442,26,36,193
12,15,388,42,30,148
13,14,602,57,50,325
11,12,277,20,14,61
14,15,1119,53,206,1044
15,11,158,15,3,17
12,12,291,41,12,72
11,11,237,19,10,46
15,13,435,18,27,130
13,14,768,55,93,565
14,15,873,26,123,559
11,15,711,86,59,448
12,11,212,21,9,38
11,13,259,35,12,61
14,10,140,16,2,13
11,10,100,0,1,5
12,10,113,19,4,12
12,12,325,25,27,85
13,14,486,74,42,215
12,11,177,27,3,22
11,11,135,10,6,16
12,12,292,6,18,47
14,12,315,23,18,83
11,13,232,20,5,35
11,13,295,40,15,96
14,11,128,28,3,12
14,12,197,35,11,39
14,12,335,27,30,99
15,15,609,67,43,307
14,14,574,31,80,287
13,12,350,17,23,98
14,14,323,10,11,72
12,14,324,6,19,55
11,11,136,24,2,18
13,15,862,101,101,721
13,14,424,6,35,116
15,11,179,4,6,25
12,12,233,15,11,40
12,11,196,24,7,34
15,11,175,0,7,15
12,15,588,65,63,345
12,12,247,20,11,47
15,12,380,28,30,124
11,13,329,48,14,100
11,13,457,59,23,170
14,13,305,46,3,42
15,15,1011,128,93,966
11,12,236,18,15,48
13,11,217,31,10,37
11,13,303,25,21,95
12,13,414,59,20,151
12,10,93,4,4,11
13,14,527,30,41,216
13,15,856,78,107,766
15,15,964,56,127,778
12,11,125,25,4,13
11,13,356,28,19,118
11,13,400,12,28,99
13,14,720,5,144,293
13,13,440,21,36,150
15,13,322,13,28,114
14,13,390,36,39,248
15,13,547,56,74,446
15,13,337,18,39,186
14,13,557,45,62,393
13,12,326,4,31,92
15,15,764,33,137,916
15,15,688,47,122,789
15,12,325,10,38,128
15,13,348,32,29,135
11,13,353,33,43,172
14,12,229,12,14,52
12,11,243,16,16,67
14,15,748,32,142,702
14,13,345,14,20,119
14,12,263,27,21,98
13,13,396,29,13,189
13,15,713,19,188,603
13,11,115,11,12,16
12,15,616,33,104,480
12,15,550,43,92,505
15,12,326,13,16,98
13,15,677,33,144,556
12,12,206,16,15,57
13,15,594,46,56,365
15,12,302,27,16,108
13,14,589,60,93,450
12,14,468,16,36,213
14,11,266,28,0,77
11,15,631,21,53,301
15,12,371,62,11,135
15,13,415,18,28,130
15,11,249,3,15,36
11,13,445,26,46,180
11,12,317,24,20,84
14,14,558,39,47,264
12,11,189,34,5,28
12,14,522,4,25,148
15,12,249,23,14,73
14,13,385,15,13,87
15,13,512,70,10,185
12,14,385,30,33,167
12,14,591,40,45,306
14,13,337,26,20,99
12,11,193,25,9,32
15,15,699,78,73,542
14,15,670,74,70,420
13,13,361,29,20,96
14,11,243,10,15,40
14,15,834,39,118,582
11,11,201,1,9,20
12,9,78,0,2,3
11,12,245,22,8,38
12,12,238,5,7,35
12,15,603,53,69,356
13,13,479,53,42,203
13,11,179,10,7,25
11,11,165,16,7,22
13,12,264,25,12,59
14,13,536,54,36,240
11,11,184,12,12,25
15,12,245,6,10,36
15,15,882,42,152,685
12,11,152,22,1,13
13,12,260,32,8,50
11,11,206,10,9,33
14,12,170,25,9,26
15,11,215,5,7,26
14,14,434,36,26,144
15,12,385,36,26,129
14,11,204,20,6,32
15,11,278,9,15,50
15,14,433,45,19,127
14,15,867,21,149,606
12,15,780,103,60,678
13,11,152,19,4,17
13,15,594,79,66,404
11,13,353,48,8,92
11,15,783,98,47,531
11,11,123,11,6,16
15,13,475,51,36,213
11,15,816,57,94,780
15,12,300,18,21,73
12,13,266,18,1,29
13,11,152,1,6,13
13,12,344,28,20,90
13,12,207,19,14,43
11,11,183,35,6,35
12,12,222,49,6,37
14,15,798,37,108,520
13,13,514,34,42,215
15,13,548,7,42,166
12,12,312,5,22,58
14,12,285,0,15,41
15,12,234,46,10,51
14,13,520,40,27,205
15,13,449,21,31,142
12,11,230,14,12,38
13,11,208,27,5,33
13,11,193,20,6,33
11,15,649,33,82,429
12,12,302,27,15,73
11,13,414,55,3,76
12,14,544,27,44,204
14,13,403,39,16,91
11,12,198,20,5,23
15,15,871,100,22,345
11,12,261,9,10,25
15,11,308,15,11,41
13,15,703,26,45,217
15,15,721,28,59,235
12,12,177,2,5,9
14,13,354,38,21,190
13,15,914,66,231,1335
11,14,466,18,81,286
14,11,225,17,18,62
12,14,486,68,38,454
14,12,277,34,17,87
14,15,799,76,190,1347
14,12,245,0,22,63
13,12,228,20,16,94
15,14,478,52,86,487
12,11,137,21,5,29
11,14,399,63,44,314
15,12,303,8,21,90
13,15,612,26,96,415
14,15,996,78,213,1525
15,15,907,53,244,1112
15,11,203,0,12,32
12,14,685,43,103,650
13,14,493,63,28,297
13,11,143,0,16,16
15,15,832,80,85,656
13,13,386,12,42,112
12,11,173,3,6,17
15,15,767,78,96,592
12,13,307,27,7,73
12,15,668,117,14,277
13,13,414,50,28,203
13,14,439,46,37,195
14,15,849,34,108,529
12,15,518,57,29,232
14,12,253,31,6,45
14,14,546,20,61,231
