numRows,numCols,totalImps,brokenImps,updateTime,naiveUpdateTime,difference,averageDifference,lessThanZero,numberLessThanZero
15,15,817,8,78,368,290,,0,
11,11,132,6,3,12,9,,0,
13,11,196,0,16,15,-1,,1,
15,15,670,20,88,335,247,,0,
15,13,337,17,21,78,57,,0,
11,13,225,7,16,33,17,,0,
12,12,272,22,16,64,48,,0,
13,12,190,25,3,16,13,,0,
12,15,942,51,133,765,632,,0,
14,13,542,32,68,323,255,,0,
14,13,488,5,42,121,79,,0,
12,14,624,12,48,250,202,,0,
11,11,178,27,3,16,13,,0,
14,15,928,40,91,600,509,,0,
13,13,440,16,16,114,98,,0,
15,12,245,3,9,32,23,,0,
11,12,284,29,12,62,50,,0,
11,11,163,3,5,1,-4,,1,
12,14,391,36,49,174,125,,0,
13,13,309,20,15,71,56,,0,
14,14,471,13,36,136,100,,0,
15,14,633,70,41,349,308,,0,
12,12,222,3,21,26,5,,0,
13,14,390,56,43,158,115,,0,
11,14,435,50,17,150,133,,0,
15,14,601,51,81,360,279,,0,
12,11,256,16,0,46,46,,0,
15,11,236,20,16,31,15,,0,
12,10,120,7,7,11,4,,0,
14,11,183,11,5,17,12,,0,
15,15,949,92,82,582,500,,0,
11,14,547,69,35,214,179,,0,
13,15,822,32,69,322,253,,0,
11,11,161,18,5,21,16,,0,
12,11,146,23,7,13,6,,0,
11,14,451,14,31,82,51,,0,
11,11,175,7,16,0,-16,,1,
12,15,652,7,90,101,11,,0,
15,11,171,8,4,9,5,,0,
12,13,411,60,9,46,37,,0,
15,15,859,94,31,285,254,,0,
15,12,329,6,9,25,16,,0,
13,15,611,45,21,115,94,,0,
12,13,285,17,21,27,6,,0,
12,14,429,31,15,68,53,,0,
14,15,689,65,31,184,153,,0,
13,13,436,61,3,46,43,,0,
13,12,409,15,16,51,35,,0,
13,12,327,29,12,43,31,,0,
15,14,673,17,88,342,254,,0,
12,11,205,25,7,29,22,,0,
11,13,436,35,22,127,105,,0,
15,15,953,87,161,938,777,,0,
11,14,417,47,53,214,161,,0,
15,12,295,38,13,80,67,,0,
14,15,1093,79,182,1284,1102,,0,
15,13,365,10,26,91,65,,0,
15,15,837,9,142,432,290,,0,
11,13,451,65,19,151,132,,0,
13,12,253,18,14,48,34,,0,
12,10,102,9,1,7,6,,0,
15,12,414,24,31,130,99,,0,
12,13,285,37,13,67,54,,0,
14,14,452,56,8,136,128,,0,
14,12,262,30,12,46,34,,0,
11,15,547,34,61,281,220,,0,
15,11,227,3,11,26,15,,0,
11,12,334,34,22,115,93,,0,
12,11,132,13,7,12,5,,0,
14,11,168,7,16,22,6,,0,
14,12,255,34,8,39,31,,0,
14,11,251,28,12,52,40,,0,
14,11,201,19,8,40,32,,0,
15,15,1000,15,161,632,471,,0,
13,13,397,28,37,140,103,,0,
11,13,438,16,34,151,117,,0,
11,12,222,19,16,46,30,,0,
15,13,520,46,35,205,170,,0,
11,12,240,34,15,62,47,,0,
13,14,686,16,76,324,248,,0,
14,14,598,26,44,258,214,,0,
13,11,237,17,13,43,30,,0,
15,11,182,15,9,28,19,,0,
15,14,606,53,48,274,226,,0,
15,11,236,1,9,28,19,,0,
15,13,506,34,53,241,188,,0,
15,12,235,42,9,46,37,,0,
14,14,589,41,58,274,216,,0,
11,11,168,36,5,25,20,,0,
14,15,757,75,79,593,514,,0,
11,12,318,43,16,82,66,,0,
11,14,518,45,58,292,234,,0,
11,13,421,20,21,121,100,,0,
11,12,213,10,10,33,23,,0,
15,12,329,5,27,74,47,,0,
11,12,275,14,20,52,32,,0,
15,11,190,29,6,28,22,,0,
15,15,980,18,147,604,457,,0,
12,15,699,58,85,486,401,,0,
14,11,138,6,5,0,-5,,1,
14,11,179,14,16,31,15,,0,
13,15,885,56,105,623,518,,0,
11,11,168,3,6,15,9,,0,
15,12,294,40,0,80,80,,0,
14,11,215,22,7,28,21,,0,
14,11,185,23,0,46,46,,0,
13,15,1026,123,79,920,841,,0,
13,13,355,52,19,96,77,,0,
12,13,362,46,38,131,93,,0,
15,11,210,20,16,42,26,,0,
13,14,607,9,47,222,175,,0,
13,11,230,18,12,36,24,,0,
15,11,190,10,0,31,31,,0,
12,10,109,19,0,16,16,,0,
12,11,190,15,8,26,18,,0,
13,12,227,23,16,59,43,,0,
14,11,225,10,16,31,15,,0,
11,14,361,17,32,93,61,,0,
15,11,168,11,3,11,8,,0,
15,13,359,52,7,87,80,,0,
13,13,406,35,28,101,73,,0,
11,12,146,24,4,16,12,,0,
11,13,413,27,41,124,83,,0,
13,14,509,45,55,259,204,,0,
15,12,288,2,28,42,14,,0,
12,13,400,15,31,110,79,,0,
12,13,422,61,23,147,124,,0,
12,11,243,17,15,47,32,,0,
13,15,676,45,64,380,316,,0,
15,15,1040,52,133,779,646,,0,
15,11,219,15,15,32,17,,0,
15,14,555,64,31,280,249,,0,
14,15,784,81,59,464,405,,0,
13,11,193,18,15,16,1,,0,
14,12,291,35,15,63,48,,0,
14,15,493,60,31,237,206,,0,
11,12,225,5,0,31,31,,0,
12,14,438,39,49,186,137,,0,
12,14,382,48,47,165,118,,0,
15,15,922,100,98,819,721,,0,
13,10,115,21,0,0,0,,1,
13,11,163,24,0,16,16,,0,
15,14,545,44,72,336,264,,0,
15,13,580,72,16,218,202,,0,
14,11,281,3,25,36,11,,0,
11,13,187,13,7,30,23,,0,
13,14,654,72,8,198,190,,0,
15,14,657,85,16,238,222,,0,
13,11,148,6,8,13,5,,0,
12,11,140,14,19,18,-1,,1,
13,15,855,30,107,503,396,,0,
11,14,455,83,16,160,144,,0,
14,12,328,28,15,83,68,,0,
14,14,578,16,53,210,157,,0,
15,14,475,22,38,174,136,,0,
12,14,627,55,53,339,286,,0,
12,11,182,23,0,16,16,,0,
12,14,508,75,31,270,239,,0,
11,12,295,29,18,71,53,,0,
15,11,190,35,0,31,31,,0,
11,13,320,46,9,105,96,,0,
14,14,561,38,68,289,221,,0,
14,14,518,41,27,197,170,,0,
12,10,113,3,3,7,4,,0,
13,13,311,21,2,42,40,,0,
11,13,347,46,0,87,87,,0,
15,13,480,65,9,149,140,,0,
15,13,416,2,38,81,43,,0,
15,11,245,26,13,36,23,,0,
13,15,652,90,19,197,178,,0,
11,13,452,66,11,100,89,,0,
14,15,899,33,42,311,269,,0,
12,15,714,60,48,283,235,,0,
15,15,1097,84,101,600,499,,0,
15,12,366,18,17,95,78,,0,
13,14,511,56,43,291,248,,0,
11,14,540,9,52,205,153,,0,
14,14,490,10,45,167,122,,0,
13,12,279,34,11,70,59,,0,
12,11,246,8,19,48,29,,0,
14,12,399,24,32,152,120,,0,
13,11,167,11,4,13,9,,0,
14,12,287,30,12,60,48,,0,
14,12,307,21,18,76,58,,0,
15,11,201,18,8,30,22,,0,
13,11,181,21,12,28,16,,0,
14,13,431,20,20,138,118,,0,
14,15,755,64,118,556,438,,0,
11,11,195,35,6,33,27,,0,
12,13,357,26,23,135,112,,0,
12,14,592,70,29,249,220,,0,
15,11,246,2,19,39,20,,0,
12,14,544,59,43,276,233,,0,
15,13,337,5,26,79,53,,0,
13,12,312,22,28,89,61,,0,
14,13,527,58,42,260,218,,0,
11,13,390,58,14,94,80,,0,
14,14,523,28,107,357,250,,0,
14,15,877,70,106,759,653,,0,
11,12,243,19,15,48,33,,0,
11,13,333,43,14,72,58,,0,
14,11,212,35,3,30,27,,0,
13,13,273,1,14,51,37,,0,
14,11,230,28,5,30,25,,0,
12,13,442,23,34,143,109,,0,
13,11,234,12,10,140,130,,0,
12,12,308,25,21,81,60,,0,
12,13,255,25,20,71,51,,0,
15,13,471,1,43,117,74,,0,
12,11,207,4,15,24,9,,0,
13,13,373,32,31,139,108,,0,
14,13,412,12,30,121,91,,0,
12,11,209,8,11,29,18,,0,
14,13,433,56,32,185,153,,0,
12,12,326,18,30,84,54,,0,
11,14,413,22,50,146,96,,0,
14,14,606,33,57,430,373,,0,
15,15,676,38,116,457,341,,0,
12,14,609,62,58,365,307,,0,
14,12,308,41,12,77,65,,0,
12,14,515,41,69,273,204,,0,
11,15,664,100,70,461,391,,0,
15,11,217,1,11,24,13,,0,
15,11,236,0,9,30,21,,0,
12,14,460,55,27,197,170,,0,
11,11,212,26,6,34,28,,0,
14,15,865,96,87,780,693,,0,
14,11,292,28,12,71,59,,0,
13,11,166,7,10,20,10,,0,
13,14,704,40,107,512,405,,0,
14,14,483,41,46,192,146,,0,
14,15,832,24,99,464,365,,0,
11,11,177,20,0,31,31,,0,
14,12,191,25,0,35,35,,0,
14,12,332,21,16,78,62,,0,
12,14,460,32,31,189,158,,0,
12,14,444,41,40,167,127,,0,
13,13,339,17,15,81,66,,0,
13,11,170,30,15,16,1,,0,
13,13,428,43,32,145,113,,0,
14,15,729,11,105,344,239,,0,
14,14,645,50,43,305,262,,0,
12,15,657,21,68,289,221,,0,
12,13,436,21,17,108,91,,0,
12,15,657,55,88,416,328,,0,
12,14,556,11,42,221,179,,0,
15,14,583,1,62,174,112,,0,
15,13,485,15,15,141,126,,0,
12,14,512,53,49,276,227,,0,
13,14,379,29,16,109,93,,0,
15,13,409,3,20,101,81,,0,
12,15,775,94,95,614,519,,0,
14,14,612,41,65,281,216,,0,
11,14,381,48,31,128,97,,0,
11,14,487,37,47,209,162,,0,
15,11,248,35,16,59,43,,0,
11,12,192,32,0,33,33,,0,
14,14,541,37,64,279,215,,0,
12,13,371,33,26,96,70,,0,
11,14,352,37,17,87,70,,0,
11,12,202,11,9,18,9,,0,
14,12,251,11,13,41,28,,0,
13,12,266,2,15,46,31,,0,
12,15,651,33,76,324,248,,0,
13,15,713,60,53,404,351,,0,
12,15,664,44,57,332,275,,0,
13,11,197,17,0,32,32,,0,
15,11,146,8,3,0,-3,,1,
13,14,633,80,31,332,301,,0,
12,14,480,21,31,158,127,,0,
11,11,225,33,0,54,54,,0,
15,15,984,58,98,722,624,,0,
12,12,256,53,10,65,55,,0,
12,14,578,88,2,244,242,,0,
11,11,237,26,10,52,42,,0,
14,12,312,32,15,48,33,,0,
11,15,604,50,65,342,277,,0,
12,15,834,6,107,389,282,,0,
14,15,957,115,59,906,847,,0,
14,11,211,26,0,32,32,,0,
11,15,789,92,77,571,494,,0,
15,15,856,71,89,701,612,,0,
15,15,1023,28,105,694,589,,0,
12,13,363,7,16,92,76,,0,
13,13,509,77,7,147,140,,0,
13,12,385,14,25,94,69,,0,
13,12,249,9,17,38,21,,0,
15,11,178,6,6,18,12,,0,
14,15,1032,4,131,469,338,,0,
11,13,473,6,35,83,48,,0,
14,13,333,23,15,79,64,,0,
14,14,460,61,16,150,134,,0,
11,12,232,30,5,26,21,,0,
11,14,395,23,2,41,39,,0,
15,11,200,16,5,20,15,,0,
13,14,477,38,16,186,170,,0,
11,12,311,45,0,66,66,,0,
14,11,175,19,5,15,10,,0,
14,13,401,36,19,95,76,,0,
15,15,558,87,35,455,420,,0,
11,14,537,73,95,617,522,,0,
14,12,300,57,38,158,120,,0,
14,11,224,24,14,67,53,,0,
11,14,565,54,76,725,649,,0,
13,14,432,45,17,256,239,,0,
13,12,189,21,62,125,63,,0,
15,12,257,35,32,132,100,,0,
15,13,470,11,82,242,160,,0,
15,13,483,14,49,281,232,,0,
11,14,551,67,107,559,452,,0,
14,11,238,23,8,101,93,,0,
15,14,565,64,88,569,481,,0,
12,13,339,28,27,143,116,,0,
14,12,326,25,25,128,103,,0,
14,11,230,6,21,54,33,,0,
12,12,328,27,14,114,100,,0,
13,12,172,14,16,44,28,,0,
12,11,170,10,10,32,22,,0,
13,13,509,59,45,345,300,,0,
11,12,259,1,21,50,29,,0,
13,12,281,35,23,110,87,,0,
14,13,371,38,46,227,181,,0,
14,15,840,50,193,986,793,,0,
13,12,242,24,13,75,62,,0,
14,12,298,26,30,131,101,,0,
15,11,197,19,10,55,45,,0,
12,11,181,9,9,35,26,,0,
13,15,687,63,106,803,697,,0,
13,11,181,10,15,32,17,,0,
12,14,679,44,117,561,444,,0,
11,14,406,31,8,173,165,,0,
13,11,120,9,4,16,12,,0,
11,15,613,25,113,469,356,,0,
11,15,762,78,124,873,749,,0,
13,11,232,29,8,60,52,,0,
14,14,713,30,116,562,446,,0,
12,12,185,3,8,32,24,,0,
12,15,666,57,88,587,499,,0,
15,12,233,7,24,56,32,,0,
11,14,566,42,66,361,295,,0,
12,13,215,28,16,76,60,,0,
11,13,311,26,20,102,82,,0,
15,12,336,46,16,105,89,,0,
14,11,205,33,12,33,21,,0,
13,13,441,40,37,180,143,,0,
12,13,410,7,31,104,73,,0,
12,12,223,17,11,42,31,,0,
13,13,394,21,32,116,84,,0,
12,14,603,52,59,316,257,,0,
12,15,606,20,78,276,198,,0,
13,11,183,18,8,30,22,,0,
13,11,211,35,6,32,26,,0,
13,12,317,23,11,76,65,,0,
11,13,295,35,9,67,58,,0,
14,12,237,8,15,35,20,,0,
14,13,322,21,16,87,71,,0,
14,12,315,33,4,57,53,,0,
15,13,480,30,34,165,131,,0,
11,14,536,82,31,276,245,,0,
11,11,137,25,5,44,39,,0,
13,11,197,28,8,35,27,,0,
11,14,444,19,36,154,118,,0,
13,12,288,27,18,81,63,,0,
11,14,493,48,14,155,141,,0,
11,13,284,16,22,64,42,,0,
12,12,348,21,25,106,81,,0,
14,14,591,47,65,280,215,,0,
12,14,466,52,27,173,146,,0,
12,14,694,28,82,354,272,,0,
12,11,159,9,9,23,14,,0,
12,12,187,31,5,27,22,,0,
12,11,206,37,10,47,37,,0,
14,12,357,15,16,87,71,,0,
14,13,412,52,33,162,129,,0,
12,15,568,48,6,188,182,,0,
14,13,450,27,30,158,128,,0,
12,14,399,39,31,177,146,,0,
11,12,212,22,8,41,33,,0,
11,11,189,10,9,31,22,,0,
14,12,229,0,13,27,14,,0,
15,15,866,40,125,625,500,,0,
15,13,310,13,19,76,57,,0,
13,15,646,47,61,350,289,,0,
14,10,103,5,3,9,6,,0,
13,11,174,12,11,25,14,,0,
15,12,267,23,7,54,47,,0,
11,12,187,16,7,27,20,,0,
15,12,347,6,29,71,42,,0,
12,11,177,12,5,22,17,,0,
12,13,413,29,31,133,102,,0,
11,14,361,37,13,101,88,,0,
12,11,137,4,2,10,8,,0,
13,12,282,3,16,42,26,,0,
14,15,653,25,82,353,271,,0,
12,13,447,15,39,153,114,,0,
11,10,81,20,1,5,4,,0,
15,11,176,23,5,29,24,,0,
11,13,297,45,27,93,66,,0,
14,15,1091,34,174,879,705,,0,
12,13,439,76,19,185,166,,0,
12,11,201,3,8,21,13,,0,
14,13,355,27,30,108,78,,0,
12,15,814,75,78,651,573,,0,
14,11,236,14,38,41,3,,0,
15,15,925,84,67,789,722,,0,
14,14,477,64,44,275,231,,0,
14,15,627,58,51,321,270,,0,
12,12,308,36,18,72,54,,0,
14,14,555,27,52,211,159,,0,
13,13,466,17,30,119,89,,0,
11,14,447,24,44,121,77,,0,
12,13,475,35,63,321,258,,0,
11,11,246,18,12,70,58,,0,
11,13,337,35,44,199,155,,0,
11,14,596,72,49,482,433,,0,
14,13,263,26,9,66,57,,0,
14,12,232,15,6,62,56,,0,
11,11,139,30,14,38,24,,0,
12,15,595,90,18,358,340,,0,
15,11,182,0,37,40,3,,0,
14,14,530,68,80,632,552,,0,
14,14,663,73,126,1033,907,,0,
12,12,294,23,40,200,160,,0,
14,12,364,44,2,109,107,,0,
11,12,294,38,54,173,119,,0,
13,12,285,33,90,151,61,,0,
15,13,406,48,46,222,176,,0,
11,11,183,24,15,48,33,,0,
14,14,614,32,88,490,402,,0,
15,14,602,36,86,459,373,,0,
12,11,129,20,3,41,38,,0,
12,11,115,6,7,22,15,,0,
11,10,140,20,10,30,20,,0,
14,14,541,83,33,368,335,,0,
13,12,239,38,17,83,66,,0,
12,13,388,24,41,233,192,,0,
11,11,188,20,9,40,31,,0,
11,14,602,40,125,686,561,,0,
11,12,277,31,21,116,95,,0,
15,12,392,5,53,135,82,,0,
12,11,213,26,7,48,41,,0,
11,11,200,34,5,43,38,,0,
13,10,160,1,11,22,11,,0,
12,14,695,95,95,737,642,,0,
15,13,402,31,40,217,177,,0,
11,13,366,32,20,143,123,,0,
11,11,214,15,16,52,36,,0,
14,12,207,6,16,40,24,,0,
12,12,287,26,20,128,108,,0,
15,11,122,17,4,24,20,,0,
15,15,640,77,108,668,560,,0,
12,11,205,8,12,40,28,,0,
11,13,454,38,48,244,196,,0,
11,11,212,5,13,43,30,,0,
14,14,458,5,62,228,166,,0,
11,12,278,17,9,112,103,,0,
14,10,103,5,4,12,8,,0,
12,11,232,0,16,40,24,,0,
15,11,169,19,12,41,29,,0,
13,13,346,16,20,100,80,,0,
15,11,211,11,16,68,52,,0,
15,12,282,22,20,98,78,,0,
13,11,288,32,12,88,76,,0,
15,13,523,46,32,318,286,,0,
15,13,442,26,36,193,157,,0,
12,15,388,42,30,148,118,,0,
13,14,602,57,50,325,275,,0,
11,12,277,20,14,61,47,,0,
14,15,1119,53,206,1044,838,,0,
15,11,158,15,3,17,14,,0,
12,12,291,41,12,72,60,,0,
11,11,237,19,10,46,36,,0,
15,13,435,18,27,130,103,,0,
13,14,768,55,93,565,472,,0,
14,15,873,26,123,559,436,,0,
11,15,711,86,59,448,389,,0,
12,11,212,21,9,38,29,,0,
11,13,259,35,12,61,49,,0,
14,10,140,16,2,13,11,,0,
11,10,100,0,1,5,4,,0,
12,10,113,19,4,12,8,,0,
12,12,325,25,27,85,58,,0,
13,14,486,74,42,215,173,,0,
12,11,177,27,3,22,19,,0,
11,11,135,10,6,16,10,,0,
12,12,292,6,18,47,29,,0,
14,12,315,23,18,83,65,,0,
11,13,232,20,5,35,30,,0,
11,13,295,40,15,96,81,,0,
14,11,128,28,3,12,9,,0,
14,12,197,35,11,39,28,,0,
14,12,335,27,30,99,69,,0,
15,15,609,67,43,307,264,,0,
14,14,574,31,80,287,207,,0,
13,12,350,17,23,98,75,,0,
14,14,323,10,11,72,61,,0,
12,14,324,6,19,55,36,,0,
11,11,136,24,2,18,16,,0,
13,15,862,101,101,721,620,,0,
13,14,424,6,35,116,81,,0,
15,11,179,4,6,25,19,,0,
12,12,233,15,11,40,29,,0,
12,11,196,24,7,34,27,,0,
15,11,175,0,7,15,8,,0,
12,15,588,65,63,345,282,,0,
12,12,247,20,11,47,36,,0,
15,12,380,28,30,124,94,,0,
11,13,329,48,14,100,86,,0,
11,13,457,59,23,170,147,,0,
14,13,305,46,3,42,39,,0,
15,15,1011,128,93,966,873,,0,
11,12,236,18,15,48,33,,0,
13,11,217,31,10,37,27,,0,
11,13,303,25,21,95,74,,0,
12,13,414,59,20,151,131,,0,
