12,13,441,60,29,260,48
13,12,286,29,15,70,27
11,14,379,20,27,182,59
13,15,786,94,47,688,171
13,13,528,63,32,314,75
12,14,477,60,38,308,69
11,11,193,35,5,36,26
12,12,264,18,15,88,10
13,12,298,5,15,64,22
13,11,209,32,5,33,45
12,11,139,20,11,32,19
12,13,381,7,23,109,30
13,13,387,22,25,203,50
13,13,472,57,16,187,86
14,11,278,26,12,65,19
13,12,283,31,19,76,51
15,15,715,27,108,537,123
12,11,197,21,4,34,12
11,13,453,63,14,245,93
13,15,844,57,83,735,194
12,13,373,7,24,105,25
14,11,190,28,3,19,20
14,15,585,10,66,327,86
15,13,381,5,25,84,31
14,12,269,3,18,64,10
14,14,529,39,36,346,96
12,13,393,46,9,118,53
11,14,268,35,20,145,64
15,12,255,10,10,60,15
14,14,629,7,55,298,58
15,13,452,19,19,171,56
14,12,258,34,5,61,43
12,13,319,24,7,81,42
13,11,179,4,5,26,8
13,12,281,15,15,72,22
15,12,294,45,7,62,27
15,12,263,45,11,81,36
12,14,443,48,16,214,106
13,15,665,29,92,467,83
12,14,475,18,47,194,34
12,12,196,4,11,29,8
15,12,282,22,16,72,16
15,15,704,47,60,473,174
11,12,258,21,3,46,53
15,13,520,32,32,254,70
14,12,340,8,22,86,29
12,14,384,11,26,116,37
11,14,502,50,43,350,86
11,12,309,36,15,137,22
12,11,158,22,5,26,17
12,11,199,18,1,23,12
13,15,1057,73,166,1188,198
11,12,185,15,0,27,51
14,12,341,0,26,78,14
12,11,188,12,15,37,10
12,10,132,10,5,23,4
15,12,222,18,10,50,36
14,12,265,24,7,62,21
13,15,651,73,27,392,157
12,12,134,21,4,32,16
12,12,286,34,5,74,43
15,13,414,60,23,250,72
15,14,592,35,64,380,75
14,15,838,71,85,682,175
13,13,467,9,36,161,24
12,11,264,26,6,54,15
14,11,228,40,6,48,27
14,13,412,24,33,150,36
12,12,196,18,6,40,21
12,15,761,52,82,589,107
15,12,339,49,8,74,44
15,13,281,22,10,82,33
13,14,387,4,31,110,33
13,15,615,56,53,524,106
14,11,326,17,21,89,15
12,13,431,38,15,153,59
14,15,845,24,85,501,140
11,12,231,12,10,47,14
12,15,800,6,100,417,65
13,13,494,63,21,208,64
14,14,525,50,35,262,60
12,11,228,16,7,40,12
12,12,293,39,12,100,27
12,11,217,29,1,23,12
12,12,153,18,4,23,12
11,13,428,24,22,171,27
11,12,249,5,10,36,14
11,12,276,3,14,42,10
13,14,561,54,42,266,102
15,13,500,17,36,189,34
11,11,156,19,4,22,9
15,11,265,18,11,62,12
13,12,304,27,10,66,22
15,14,474,6,31,157,47
11,12,221,12,8,41,14
14,14,572,32,44,307,66
15,14,714,4,78,302,34
14,12,378,29,15,108,33
11,15,711,51,69,486,109
15,15,883,80,62,782,236
12,12,229,13,9,54,23
14,15,777,79,97,761,147
14,11,182,16,9,41,15
15,14,715,1,73,282,38
12,12,338,39,18,128,38
15,13,615,28,36,278,59
15,14,688,44,54,397,104
13,14,586,48,31,313,100
11,11,244,13,8,49,12
13,15,690,74,48,553,72
14,15,991,42,123,936,243
13,14,487,49,19,153,88
15,13,475,53,29,198,65
12,12,323,36,9,97,29
14,13,315,42,11,92,36
15,14,622,23,66,374,79
14,13,396,23,27,150,45
11,11,173,7,6,24,10
14,12,325,8,19,80,24
11,12,222,17,8,54,25
14,15,879,1,119,560,129
14,14,596,59,54,385,60
13,14,484,32,45,253,47
11,15,777,98,57,632,126
15,13,385,9,25,95,34
13,14,609,80,35,363,152
13,11,157,23,7,37,11
14,13,445,31,30,183,61
11,14,448,33,23,181,56
11,11,153,19,6,20,12
14,15,673,57,38,346,167
14,12,353,1,22,76,12
12,13,391,52,21,146,57
12,14,580,73,5,197,144
14,14,639,91,41,449,77
11,13,249,5,13,49,13
12,12,284,28,13,83,32
11,12,274,23,15,76,21
15,13,417,58,20,171,52
11,13,338,14,24,97,30
15,14,443,14,28,161,37
12,13,469,50,23,192,67
12,12,284,22,13,76,20
11,11,192,5,8,39,8
13,13,328,27,20,95,70
13,12,289,0,12,49,12
13,13,275,25,15,68,42
15,14,510,44,53,278,93
