[0m[[0minfo[0m] [0mLoading project definition from /home/admin/programs/BasisUpdate/project[0m
[0m[[0minfo[0m] [0mSet current project to CanonicalDirectBasis (in build file:/home/admin/programs/BasisUpdate/)[0m
[0m[[0minfo[0m] [0mRunning basis.StatisticsGeneratingExample [0m
14,15,691,49,32,126,120
14,12,253,20,16,18,12
14,12,265,22,8,18,16
14,11,183,0,7,6,4
14,11,191,0,9,6,3
13,11,209,41,4,11,15
13,13,317,16,16,28,14
14,15,519,50,39,117,90
15,12,186,29,6,12,16
14,12,274,31,10,22,15
14,15,879,109,52,265,151
14,13,585,17,37,74,25
12,14,596,78,14,87,59
12,13,306,24,17,35,14
15,12,349,40,9,35,24
11,13,346,41,2,20,30
12,12,250,1,14,11,8
14,14,617,39,37,97,82
14,12,315,29,16,31,12
12,11,169,5,5,6,6
15,11,204,20,1,8,10
11,12,353,13,19,28,10
13,11,213,25,4,29,10
12,13,376,17,35,38,13
15,13,560,60,35,105,59
15,12,299,19,13,26,13
15,15,742,9,59,124,73
13,14,567,32,42,93,40
15,12,321,9,12,22,11
14,14,633,35,56,125,36
14,12,397,31,12,56,19
11,12,273,19,9,19,13
11,12,280,9,8,14,8
11,14,533,3,30,50,20
13,11,189,15,6,11,6
12,11,155,8,4,6,4
11,15,719,89,30,165,63
14,11,212,7,6,9,5
11,13,544,78,10,69,34
11,14,392,32,12,43,20
12,12,336,27,9,23,11
13,14,468,68,15,60,52
11,14,433,52,22,63,23
14,15,910,84,44,243,72
12,11,242,18,4,12,5
15,14,596,44,26,88,24
13,14,498,5,19,37,13
13,12,344,43,7,27,11
11,13,383,38,11,39,14
12,15,750,87,30,159,60
11,15,618,52,34,121,30
13,14,660,3,27,64,26
12,14,437,36,8,43,28
11,13,423,47,6,37,21
15,13,466,44,13,51,15
15,11,272,10,7,14,4
14,14,564,29,20,68,21
11,12,263,26,6,19,7
15,14,519,0,21,36,11
11,15,724,14,38,98,16
11,12,250,45,7,29,31
13,13,505,16,47,64,28
12,12,242,24,7,39,37
13,12,214,13,5,12,20
13,13,400,37,32,62,45
14,11,225,19,5,14,15
12,15,671,74,39,167,131
14,13,250,18,12,22,30
13,14,520,46,33,96,63
13,14,590,25,44,106,39
13,13,373,26,26,52,29
11,12,175,30,1,5,15
15,12,371,44,13,40,29
11,10,119,10,4,5,4
14,14,575,68,15,88,64
12,11,149,0,5,4,4
14,15,784,47,55,152,95
11,12,280,0,15,16,6
13,15,846,37,78,180,34
15,14,660,33,76,155,85
13,12,215,8,6,11,13
15,15,746,11,79,134,68
11,14,340,33,9,38,48
12,11,142,14,3,6,8
14,14,736,86,20,132,96
15,15,900,55,86,229,174
15,13,286,21,8,23,23
12,12,204,14,7,13,11
15,12,230,9,13,14,11
12,15,763,14,89,170,81
12,12,221,1,12,18,9
13,14,600,24,45,121,50
14,14,772,92,73,255,117
12,12,239,42,14,28,17
13,11,238,35,6,15,15
15,11,239,20,12,19,12
14,13,377,20,26,46,25
15,12,311,1,20,19,9
12,12,219,7,9,12,13
11,14,419,23,38,66,42
14,15,808,87,44,200,149
11,13,289,17,16,27,16
14,15,709,107,30,144,131
11,13,427,42,24,67,36
14,14,717,78,51,172,108
15,15,778,41,77,179,57
11,13,357,48,24,50,30
12,13,490,57,21,58,35
15,12,263,9,12,16,10
15,13,454,42,26,60,43
12,11,191,26,8,12,8
15,12,301,24,14,28,19
11,14,437,34,30,72,35
